Micf,MicPSD,Sagnacf,SagnacPSD,BPDf,BPDPSD,PDf,PDPSD
29481.132075471698,5.622707954314314e-09,50403.22580645161,7.167195850306321e-09,50403.22580645161,5.616922408966755e-10,50403.22580645161,4.0293101288385766e-13
58962.264150943396,2.6619149819749863e-08,100806.45161290323,1.7474248977285116e-08,100806.45161290323,1.4247686638666248e-09,100806.45161290323,2.4036507133341586e-13
88443.39622641509,4.014656617114758e-08,151209.67741935485,1.1695508436523983e-08,151209.67741935485,1.2212719465523526e-09,151209.67741935485,2.1002845217539033e-13
117924.52830188679,2.7420200620441748e-08,201612.90322580645,3.05870292094745e-09,201612.90322580645,5.95282916698692e-10,201612.90322580645,2.0752698330509408e-13
147405.6603773585,1.1006671922536425e-08,252016.12903225806,3.6116072673613312e-09,252016.12903225806,3.8479571417333756e-10,252016.12903225806,2.0888614590014152e-13
176886.79245283018,1.4455145378724198e-09,302419.3548387097,2.5929274889048764e-09,302419.3548387097,2.6521282370164664e-10,302419.3548387097,2.439439990790852e-13
206367.9245283019,4.2935548558516e-11,352822.5806451613,1.4848780440801514e-09,352822.5806451613,1.8615193778696206e-10,352822.5806451613,2.412742046882791e-13
235849.05660377358,6.457413611421853e-11,403225.8064516129,1.4865099921110446e-09,403225.8064516129,1.584387079412192e-10,403225.8064516129,2.484569789803544e-13
265330.1886792453,3.040706028230028e-11,453629.03225806454,1.2235607009053294e-09,453629.03225806454,1.6716914427027085e-10,453629.03225806454,2.0560239265412112e-13
294811.320754717,4.561076833557923e-12,504032.2580645161,1.0856217495827202e-09,504032.2580645161,1.3820478294618342e-10,504032.2580645161,1.98440171766153e-13
324292.4528301887,2.999731378932142e-13,554435.4838709678,6.898393308192285e-10,554435.4838709678,1.0287296039698253e-10,554435.4838709678,2.372034742147309e-13
353773.58490566036,1.0247593423637731e-12,604838.7096774194,6.3133992176331e-10,604838.7096774194,7.517759091043614e-11,604838.7096774194,2.3586618677352434e-13
383254.71698113205,1.5722707294283663e-12,655241.935483871,6.089629007030301e-10,655241.935483871,7.497836518025624e-11,655241.935483871,1.9889233132071287e-13
412735.8490566038,6.987295718015729e-13,705645.1612903225,3.4980305566109395e-10,705645.1612903225,6.299490119435704e-11,705645.1612903225,2.303376511953849e-13
442216.9811320755,2.490193657883489e-13,756048.3870967742,3.521444995666952e-10,756048.3870967742,4.014741906228278e-11,756048.3870967742,2.1647117261505476e-13
471698.11320754717,3.7121230872375805e-13,806451.6129032258,2.716999462891813e-10,806451.6129032258,3.542104982887175e-11,806451.6129032258,2.447770628746586e-13
501179.24528301886,3.5456416681091773e-13,856854.8387096775,1.995031078750696e-10,856854.8387096775,3.1317180476232677e-11,856854.8387096775,2.6587229544840346e-13
530660.3773584906,3.2744995073032627e-13,907258.0645161291,1.8199080523548333e-10,907258.0645161291,2.4737213584229108e-11,907258.0645161291,2.398572835515812e-13
560141.5094339623,2.7033207167124917e-13,957661.2903225806,1.254426319448743e-10,957661.2903225806,1.9981563730459672e-11,957661.2903225806,1.9347399562075957e-13
589622.641509434,2.771461309313325e-13,1008064.5161290322,1.1204209301774184e-10,1008064.5161290322,1.7086717475514007e-11,1008064.5161290322,1.95757493083066e-13
619103.7735849057,2.4577928901376196e-13,1058467.7419354839,8.833600157395636e-11,1058467.7419354839,1.3116667137417435e-11,1058467.7419354839,1.9214957630854735e-13
648584.9056603773,2.784073102881491e-13,1108870.9677419355,7.18764219798469e-11,1108870.9677419355,1.0293548299919035e-11,1108870.9677419355,1.8727455372795756e-13
678066.037735849,2.991484591014385e-13,1159274.1935483871,6.026838282369121e-11,1159274.1935483871,8.719437377714436e-12,1159274.1935483871,2.399268839793398e-13
707547.1698113207,2.3422911986883433e-13,1209677.4193548388,4.3702385569403076e-11,1209677.4193548388,7.570550158252995e-12,1209677.4193548388,2.145770934013888e-13
737028.3018867924,2.488538665419837e-13,1260080.6451612904,3.792353522127813e-11,1260080.6451612904,7.70803527651152e-12,1260080.6451612904,2.023561425854035e-13
766509.4339622641,2.2329732638631706e-13,1310483.870967742,2.8528928427625638e-11,1310483.870967742,7.55529774980887e-12,1310483.870967742,2.183167905841645e-13
795990.5660377359,2.507159423965025e-13,1360887.0967741935,2.2707778013383273e-11,1360887.0967741935,5.94711547424824e-12,1360887.0967741935,1.9552135294206806e-13
825471.6981132076,2.171716379526838e-13,1411290.322580645,1.9106148375477428e-11,1411290.322580645,5.1713937735479426e-12,1411290.322580645,1.797012021370024e-13
854952.8301886793,2.108219748600001e-13,1461693.5483870967,1.5004658918800275e-11,1461693.5483870967,5.099318525599098e-12,1461693.5483870967,2.2628353256362914e-13
884433.962264151,2.6848816755499756e-13,1512096.7741935484,1.2015363505939533e-11,1512096.7741935484,4.936052500804856e-12,1512096.7741935484,2.0062837980950444e-13
913915.0943396227,2.4569539756901965e-13,1562500.0,8.249298249112246e-12,1562500.0,4.5565993631404085e-12,1562500.0,1.8407461140182126e-13
943396.2264150943,2.2243362896481308e-13,1612903.2258064516,5.600916088024195e-12,1612903.2258064516,4.308667607653132e-12,1612903.2258064516,1.9641220722441816e-13
972877.358490566,2.062913585091011e-13,1663306.4516129033,4.287338220533151e-12,1663306.4516129033,3.5464345704142776e-12,1663306.4516129033,2.044031142091355e-13
1002358.4905660377,2.1794418728920127e-13,1713709.677419355,3.6399864006221804e-12,1713709.677419355,2.964759627361594e-12,1713709.677419355,1.7828023021214592e-13
1031839.6226415094,1.9973105737792178e-13,1764112.9032258065,3.44138818380601e-12,1764112.9032258065,3.0426382929856618e-12,1764112.9032258065,1.9356623729403637e-13
1061320.7547169812,2.30738224820604e-13,1814516.1290322582,2.640124559870247e-12,1814516.1290322582,3.1670882047391283e-12,1814516.1290322582,2.0266758582167687e-13
1090801.8867924528,2.382805623035016e-13,1864919.3548387098,2.230622050471271e-12,1864919.3548387098,3.1158702813840676e-12,1864919.3548387098,2.2551095109841203e-13
1120283.0188679246,2.602172736785628e-13,1915322.5806451612,2.0326826623432187e-12,1915322.5806451612,3.133109591610974e-12,1915322.5806451612,2.296317766057694e-13
1149764.1509433961,2.485889099798988e-13,1965725.8064516129,1.783216240556186e-12,1965725.8064516129,3.520137996040483e-12,1965725.8064516129,2.4270334184577275e-13
1179245.283018868,2.183775305879291e-13,2016129.0322580645,1.5577368734130437e-12,2016129.0322580645,3.0193908356100137e-12,2016129.0322580645,2.1889177029095125e-13
1208726.4150943395,2.4751337618484384e-13,2066532.2580645161,2.0043835358870976e-12,2066532.2580645161,3.026256915057706e-12,2066532.2580645161,2.2742055097586584e-13
1238207.5471698113,2.674715983012438e-13,2116935.4838709678,1.6198647621802703e-12,2116935.4838709678,3.371383100193624e-12,2116935.4838709678,2.1070833332867624e-13
1267688.6792452831,2.6989560745822207e-13,2167338.709677419,1.6062967945791982e-12,2167338.709677419,3.644941465042907e-12,2167338.709677419,1.8824071258169668e-13
